name	season
まえせつ！	2020年秋
GIBIATE the Animation	2020年夏
GREAT PRETENDER	2020年夏
恋とプロデューサー ～EVOL×LOVE～	2020年夏
ゴールデンカムイ 第3期	2020年秋
BNA ビー・エヌ・エー	2020年春
デカダンス	2020年夏
ID:INVADED イド:インヴェイデッド	2020年冬
私、能力は平均値でって言ったよね！	2019年秋
ネコぱら	2020年冬
ぼくたちは勉強ができない！	2019年秋
進撃の巨人 The Final Season Part.1	2020年秋
Z/X Code reunion	2019年秋
異種族レビュアーズ	2020年冬
この音とまれ！ 第2クール	2019年秋
異世界かるてっと2	2020年冬
球詠	2020年春
八十亀ちゃんかんさつにっき 2さつめ	2020年冬
兄に付ける薬はない！3 -快把我哥帯走3-	2019年秋
食戟のソーマ 神ノ皿	2019年秋
うちタマ?! ～うちのタマ知りませんか？～	2020年冬
MUTEKING THE Dancing HERO	2021年秋
戦×恋	2019年秋
Fairy gone フェアリーゴーン 2クール目	2019年秋
指先から本気の熱情-幼なじみは消防士-	2019年夏
のんのんびより のんすとっぷ	2021年冬
映像研には手を出すな！	2020年冬
安達としまむら	2020年秋
五等分の花嫁∬	2021年冬
D4DJ First Mix	2020年秋
七つの大罪 神々の逆鱗	2019年秋
アイ★チュウ	2021年冬
放課後ていぼう日誌	2020年夏
ライフル・イズ・ビューティフル	2019年秋
新・エースをねらえ！	1978年秋
ほら、耳がみえてるよ！ (第2シリーズ)	2019年春
超人高校生たちは異世界でも余裕で生き抜くようです！	2019年秋
トライナイツ	2019年夏
ギヴン	2019年夏
空挺ドラゴンズ	2020年冬
無職転生 ～異世界行ったら本気だす～	2021年冬
転生したらスライムだった件 第2期 第1部	2021年冬
厨病激発ボーイ	2019年秋
地縛少年花子くん	2020年冬
ノー・ガンズ・ライフ	2019年秋
ハイスコアガール II	2019年秋
プランダラ	2020年冬
ソマリと森の神様	2020年冬
はたらく細胞!!	2021年冬
啄木鳥探偵處	2020年春
number24	2020年冬
ACTORS -Songs Connection-	2019年秋
装甲娘戦機	2021年冬
われしょ！我ら小動物愛護委員会	2019年夏
おちこぼれフルーツタルト	2020年秋
約束のネバーランド Season 2	2021年冬
ソードアート・オンライン アリシゼーション War of Underworld	2019年秋
デュエル・マスターズ！！	2019年春
やはり俺の青春ラブコメはまちがっている。完	2020年夏
